Column_Data_00
    step        time[-]          F_x           F_y           F_z
     276   8.625000e-01  -2.5877e-03    0.0000e+00    1.9727e-04
     277   8.656250e-01  -2.5881e-03    0.0000e+00    1.9965e-04
     278   8.687500e-01  -2.5884e-03    0.0000e+00    2.0205e-04
     279   8.718750e-01  -2.5885e-03    0.0000e+00    2.0445e-04
     280   8.750000e-01  -2.5884e-03    0.0000e+00    2.0686e-04
     281   8.781250e-01  -2.5882e-03    0.0000e+00    2.0927e-04
     282   8.812500e-01  -2.5878e-03    0.0000e+00    2.1170e-04
     283   8.843750e-01  -2.5873e-03    0.0000e+00    2.1413e-04
     284   8.875000e-01  -2.5866e-03    0.0000e+00    2.1656e-04
     285   8.906250e-01  -2.5857e-03    0.0000e+00    2.1901e-04
     286   8.937500e-01  -2.5846e-03    0.0000e+00    2.2146e-04
     287   8.968750e-01  -2.5834e-03    0.0000e+00    2.2391e-04
     288   9.000000e-01  -2.5821e-03    0.0000e+00    2.2638e-04
     289   9.031250e-01  -2.5805e-03    0.0000e+00    2.2884e-04
     290   9.062500e-01  -2.5788e-03    0.0000e+00    2.3131e-04
     291   9.093750e-01  -2.5770e-03    0.0000e+00    2.3379e-04
     292   9.125000e-01  -2.5749e-03    0.0000e+00    2.3627e-04
     293   9.156250e-01  -2.5727e-03    0.0000e+00    2.3876e-04
     294   9.187500e-01  -2.5704e-03    0.0000e+00    2.4124e-04
     295   9.218750e-01  -2.5678e-03    0.0000e+00    2.4373e-04
     296   9.250000e-01  -2.5651e-03    0.0000e+00    2.4623e-04
     297   9.281250e-01  -2.5623e-03    0.0000e+00    2.4872e-04
     298   9.312500e-01  -2.5593e-03    0.0000e+00    2.5122e-04
     299   9.343750e-01  -2.5561e-03    0.0000e+00    2.5372e-04
     300   9.375000e-01  -2.5528e-03    0.0000e+00    2.5623e-04
     301   9.406250e-01  -2.5492e-03    0.0000e+00    2.5873e-04
     302   9.437500e-01  -2.5456e-03    0.0000e+00    2.6123e-04
     303   9.468750e-01  -2.5417e-03    0.0000e+00    2.6374e-04
     304   9.500000e-01  -2.5377e-03    0.0000e+00    2.6624e-04
     305   9.531250e-01  -2.5336e-03    0.0000e+00    2.6874e-04
     306   9.562500e-01  -2.5293e-03    0.0000e+00    2.7125e-04
     307   9.593750e-01  -2.5248e-03    0.0000e+00    2.7375e-04
     308   9.625000e-01  -2.5202e-03    0.0000e+00    2.7625e-04
     309   9.656250e-01  -2.5154e-03    0.0000e+00    2.7875e-04
     310   9.687500e-01  -2.5104e-03    0.0000e+00    2.8124e-04
     311   9.718750e-01  -2.5053e-03    0.0000e+00    2.8373e-04
     312   9.750000e-01  -2.5000e-03    0.0000e+00    2.8622e-04
     313   9.781250e-01  -2.4946e-03    0.0000e+00    2.8871e-04
     314   9.812500e-01  -2.4890e-03    0.0000e+00    2.9119e-04
     315   9.843750e-01  -2.4832e-03    0.0000e+00    2.9367e-04
     316   9.875000e-01  -2.4773e-03    0.0000e+00    2.9614e-04
     317   9.906250e-01  -2.4713e-03    0.0000e+00    2.9861e-04
     318   9.937500e-01  -2.4651e-03    0.0000e+00    3.0107e-04
     319   9.968750e-01  -2.4587e-03    0.0000e+00    3.0353e-04
     320   1.000000e+00  -2.4522e-03    0.0000e+00    3.0598e-04
     321   1.003125e+00  -2.4456e-03    0.0000e+00    3.0843e-04
     322   1.006250e+00  -2.4390e-03    0.0000e+00    3.1086e-04
     323   1.009375e+00  -2.4324e-03    0.0000e+00    3.1329e-04
     324   1.012500e+00  -2.4260e-03    0.0000e+00    3.1571e-04
     325   1.015625e+00  -2.4195e-03    0.0000e+00    3.1813e-04
     326   1.018750e+00  -2.4131e-03    0.0000e+00    3.2054e-04
     327   1.021875e+00  -2.4068e-03    0.0000e+00    3.2294e-04
     328   1.025000e+00  -2.4004e-03    0.0000e+00    3.2533e-04
     329   1.028125e+00  -2.3941e-03    0.0000e+00    3.2772e-04
     330   1.031250e+00  -2.3879e-03    0.0000e+00    3.3010e-04
     331   1.034375e+00  -2.3817e-03    0.0000e+00    3.3248e-04
     332   1.037500e+00  -2.3755e-03    0.0000e+00    3.3484e-04
     333   1.040625e+00  -2.3693e-03    0.0000e+00    3.3720e-04
     334   1.043750e+00  -2.3632e-03    0.0000e+00    3.3955e-04
     335   1.046875e+00  -2.3571e-03    0.0000e+00    3.4190e-04
     336   1.050000e+00  -2.3511e-03    0.0000e+00    3.4424e-04
     337   1.053125e+00  -2.3450e-03    0.0000e+00    3.4657e-04
     338   1.056250e+00  -2.3391e-03    0.0000e+00    3.4889e-04
     339   1.059375e+00  -2.3331e-03    0.0000e+00    3.5121e-04
     340   1.062500e+00  -2.3272e-03    0.0000e+00    3.5352e-04
     341   1.065625e+00  -2.3213e-03    0.0000e+00    3.5582e-04
     342   1.068750e+00  -2.3155e-03    0.0000e+00    3.5812e-04
     343   1.071875e+00  -2.3097e-03    0.0000e+00    3.6041e-04
     344   1.075000e+00  -2.3039e-03    0.0000e+00    3.6269e-04
     345   1.078125e+00  -2.2981e-03    0.0000e+00    3.6497e-04
     346   1.081250e+00  -2.2924e-03    0.0000e+00    3.6724e-04
     347   1.084375e+00  -2.2867e-03    0.0000e+00    3.6950e-04
     348   1.087500e+00  -2.2811e-03    0.0000e+00    3.7175e-04
     349   1.090625e+00  -2.2754e-03    0.0000e+00    3.7400e-04
     350   1.093750e+00  -2.2699e-03    0.0000e+00    3.7624e-04
     351   1.096875e+00  -2.2643e-03    0.0000e+00    3.7847e-04
     352   1.100000e+00  -2.2588e-03    0.0000e+00    3.8070e-04
     353   1.103125e+00  -2.2533e-03    0.0000e+00    3.8291e-04
     354   1.106250e+00  -2.2478e-03    0.0000e+00    3.8513e-04
     355   1.109375e+00  -2.2424e-03    0.0000e+00    3.8733e-04
     356   1.112500e+00  -2.2370e-03    0.0000e+00    3.8953e-04
     357   1.115625e+00  -2.2316e-03    0.0000e+00    3.9172e-04
     358   1.118750e+00  -2.2263e-03    0.0000e+00    3.9390e-04
     359   1.121875e+00  -2.2210e-03    0.0000e+00    3.9608e-04
     360   1.125000e+00  -2.2157e-03    0.0000e+00    3.9825e-04
     361   1.128125e+00  -2.2105e-03    0.0000e+00    4.0041e-04
     362   1.131250e+00  -2.2052e-03    0.0000e+00    4.0257e-04
     363   1.134375e+00  -2.2001e-03    0.0000e+00    4.0471e-04
     364   1.137500e+00  -2.1949e-03    0.0000e+00    4.0686e-04
     365   1.140625e+00  -2.1898e-03    0.0000e+00    4.0899e-04
     366   1.143750e+00  -2.1847e-03    0.0000e+00    4.1112e-04
     367   1.146875e+00  -2.1796e-03    0.0000e+00    4.1324e-04
     368   1.150000e+00  -2.1746e-03    0.0000e+00    4.1535e-04
     369   1.153125e+00  -2.1696e-03    0.0000e+00    4.1746e-04
     370   1.156250e+00  -2.1646e-03    0.0000e+00    4.1955e-04
     371   1.159375e+00  -2.1596e-03    0.0000e+00    4.2165e-04
     372   1.162500e+00  -2.1547e-03    0.0000e+00    4.2373e-04
     373   1.165625e+00  -2.1498e-03    0.0000e+00    4.2581e-04
     374   1.168750e+00  -2.1450e-03    0.0000e+00    4.2788e-04
